step train_perp valid_perp test_perp test_recall total_loss e_loss rec_loss
0 1004.66259006 1005.8766441 1004.82550743 0.06333333333333331 493.474123001 2.31827082515 491.155853195
1000 773.701250531 777.569519657 779.481287206 0.6333333333333333 475.658216248 3.6922941339 471.965923843
2000 680.986535918 690.548042518 684.935264019 0.6899999999999997 469.602305908 6.04420073867 463.558105392
3000 647.15932667 661.891302438 651.324236271 0.6966666666666664 467.080571442 6.89939037085 460.18117897
4000 644.518937735 646.916448327 644.07810012 0.6833333333333331 465.276422882 5.13950699449 460.136917419
5000 625.742220798 628.814830077 626.113574713 0.6966666666666665 464.534953156 5.90767641902 458.627276382
6000 616.890688396 618.124295583 614.385284216 0.7099999999999999 464.486205368 6.74750334144 457.738700104
7000 592.009239068 596.962122878 595.805816112 0.693333333333333 462.101918488 7.2358297956 454.866090622
8000 585.477016856 591.58576359 595.211122576 0.7033333333333331 460.735228958 6.6812740767 454.05395607
9000 589.221541993 600.488875655 592.590744381 0.7166666666666663 460.395333862 5.90044722676 454.494888
10000 570.50976521 577.073886751 570.718719808 0.7099999999999997 461.297219086 8.52935562491 452.767863464
11000 569.530525822 576.59514728 568.719814532 0.71 459.103850708 6.58857901692 452.515272598
12000 557.944099284 567.00909322 562.005672475 0.7166666666666667 459.351910782 8.08132842183 451.270581436
13000 554.848179592 565.093999993 560.139252296 0.7399999999999999 458.948047028 8.08238547921 450.865662994
14000 555.172270706 569.535000544 562.868956463 0.7133333333333334 457.605082321 6.80896485925 450.796117783
15000 552.127410094 563.181956635 557.916064041 0.7466666666666666 457.734203491 7.37867390633 450.355529633
16000 553.374023428 567.440817481 562.145734201 0.7199999999999999 458.164050598 7.05319134951 451.110857239
17000 547.033385446 564.120369807 555.417920282 0.7099999999999997 457.512249603 7.42138481379 450.090864563
18000 547.858345791 561.987759108 553.780974424 0.7233333333333332 456.772386627 6.72793334961 450.044453049
19000 555.868418342 573.706453109 566.704727175 0.7033333333333331 458.322045441 6.65453995585 451.667504425
20000 538.372107775 554.514481377 554.109037736 0.6999999999999998 456.485326233 7.52991728306 448.955408401
21000 535.827963838 555.581414275 549.996459023 0.7600000000000001 455.961136856 7.46623381615 448.494904633
22000 532.716026567 546.611054849 541.597569934 0.7233333333333332 456.070389481 7.75024617672 448.320143585
23000 539.20635291 551.994393674 547.205836028 0.7466666666666666 455.981772003 7.10549890757 448.876271896
24000 530.952156728 544.933306829 543.130705583 0.7366666666666666 456.085628204 7.98881071091 448.09681778
25000 541.264704216 557.860945437 553.056908074 0.7066666666666666 456.165636215 6.66167021394 449.503966675
26000 530.863988768 551.048468228 548.401958635 0.7299999999999999 455.203175659 7.60295872808 447.600216446
27000 525.525088958 541.461002614 535.446202459 0.7699999999999999 455.70131218 8.51725595236 447.184055023
28000 523.637236962 535.556759886 533.63039426 0.7566666666666663 455.136755676 8.03620317101 447.100554352
29000 522.91660259 537.074899406 533.073829043 0.7566666666666666 455.66138298 8.6923465097 446.969035187
