step train_perp valid_perp test_perp test_recall total_loss e_loss rec_loss
0 1015.32313357 1015.80680248 1016.68808635 0.05666666666666665 530.229 37.9437959003 492.285703964
1000 490.269493685 512.541373105 506.568037933 0.72 475.474 32.6820218945 442.791602325
2000 444.896322013 480.392999512 473.226877417 0.8066666666666665 469.021 31.9235982132 437.097631302
3000 426.953069348 466.003205876 458.438385123 0.8300000000000003 466.812 32.0418892384 434.769747391
4000 417.385515099 460.152121603 451.360627584 0.8233333333333336 465.532 32.1898357773 433.342575912
5000 409.041183432 453.766470596 447.019485859 0.8233333333333335 464.428 32.3910613251 432.037301559
6000 404.63431014 449.316806504 442.010885939 0.8233333333333338 463.59 32.2263495827 431.364168549
7000 397.484794772 444.599347366 438.461108126 0.8233333333333337 462.99 32.4449779701 430.544916229
8000 394.395480623 442.464114809 434.657179721 0.8333333333333337 462.661 32.5316981697 430.129544601
9000 394.644263626 441.531279978 432.910898783 0.8333333333333337 462.441 32.4459827232 429.994811859
10000 389.808948372 438.323319539 428.549526474 0.8333333333333338 461.705 32.4347191715 429.269904709
11000 388.057462087 436.773980267 427.252656159 0.8433333333333336 461.624 32.5728234673 429.050703812
12000 387.302437888 437.286102523 426.052204225 0.846666666666667 461.665 32.6275182152 429.037873383
13000 385.776687854 433.7169203 423.281721055 0.846666666666667 461.086 32.4013781166 428.68449501
14000 382.241340717 432.797157298 422.15215926 0.8500000000000005 460.666 32.5336179161 428.132748642
15000 383.818374425 431.989701832 420.444098674 0.8333333333333336 460.948 32.6234523296 428.32473587
16000 381.392396801 429.914656249 418.683169594 0.8533333333333336 460.945 33.0822019005 427.862390823
17000 379.47924003 429.166470697 417.795749539 0.8433333333333337 460.138 32.5629959106 427.574847107
18000 379.630121802 429.230504215 417.248181563 0.8400000000000002 460.156 32.5290900803 427.626663361
19000 377.826577795 426.996887548 417.236771401 0.846666666666667 459.879 32.5691270828 427.310059891
20000 377.972030621 426.427697893 416.259118619 0.8500000000000004 460.435 33.074831419 427.360434418
21000 375.323829667 425.456094028 413.267433907 0.8333333333333337 460.629 33.6654877853 426.963746719
22000 375.364457501 423.814854349 413.419970505 0.8500000000000003 459.979 32.9267252541 427.052531204
23000 374.477754542 424.234977257 415.010395175 0.8433333333333336 459.437 32.6456711197 426.790823593
24000 374.733254179 423.622351971 414.266186461 0.8333333333333337 459.871 32.9870744896 426.884377365
25000 374.385290895 423.089173383 413.240569593 0.8333333333333337 459.558 32.7221912575 426.835571747
26000 375.334010087 422.368810193 412.964310075 0.836666666666667 459.693 32.6595621681 427.033225174
27000 373.438161272 420.774925228 410.783079172 0.8366666666666669 459.438 32.749405098 426.688858337
28000 371.435791301 419.692248025 409.203483557 0.8400000000000003 459.144 32.8056825733 426.33809227
29000 371.773048287 420.563854934 410.479097206 0.8400000000000002 459.033 32.7115030479 426.321155548
30000 372.256641564 420.393326938 411.14464291 0.8433333333333336 459.373 32.8939655685 426.478940201
31000 373.318141447 421.097747189 411.822248462 0.8433333333333336 459.449 32.8273565292 426.621865921
32000 372.778607868 420.297798704 409.901586944 0.836666666666667 459.428 32.9908570671 426.437074432
33000 371.653613798 419.630976113 410.145157519 0.8466666666666669 459.505 33.1647223282 426.339903946
34000 370.833964033 419.550122757 408.958303985 0.8433333333333336 459.267 33.0716611862 426.195090714
35000 370.672909802 418.9665402 409.091285014 0.8433333333333337 459.217 33.0769567776 426.140273209
36000 368.445201239 417.631894392 408.374708383 0.8500000000000004 458.535 32.800403347 425.73498085
37000 368.922345767 419.015666901 408.516339151 0.856666666666667 458.72 32.8378654766 425.881847916
38000 368.225838781 417.37057779 408.726754525 0.8533333333333336 458.739 33.0037273026 425.735398712
39000 368.561384094 418.29962483 408.664425941 0.8533333333333337 458.717 32.9068725014 425.810166168
40000 369.100968655 418.784165304 408.423801412 0.8466666666666671 458.923 33.0559092522 425.866925964
41000 369.955257902 417.14898261 408.532818699 0.8500000000000004 458.93 32.8828680229 426.047603836
42000 367.888235121 417.000346888 408.076918 0.8400000000000004 458.653 32.9520236588 425.701184692
43000 366.448206538 416.901630011 406.659431287 0.8500000000000004 458.406 32.8865982819 425.519284363
44000 368.104547941 417.741833014 409.2333736 0.8400000000000003 458.895 33.0878568077 425.807333145
45000 368.398185947 417.835129025 409.494421944 0.8566666666666669 458.999 33.1222200584 425.876676559
46000 365.59529707 417.344268133 405.783682887 0.8233333333333337 458.376 32.9294077873 425.446776657
47000 365.520699691 415.883492892 406.276305616 0.8433333333333336 458.188 32.7678502941 425.420475235
48000 366.040117531 416.36175261 406.040419861 0.8400000000000003 458.297 32.8295619583 425.467058105
49000 364.766853557 415.08287431 403.85306565 0.856666666666667 458.093 32.8231664276 425.270244064
50000 367.906637691 415.889295424 406.371048551 0.8600000000000003 458.663 32.8342280197 425.829278564
51000 366.562560147 415.352908142 405.610967642 0.8533333333333337 458.538 32.9441411591 425.593406296
52000 367.308715531 415.534759858 405.513247355 0.8400000000000003 458.67 32.9232295799 425.747303009
53000 366.209737285 415.174962841 405.399955326 0.8333333333333337 458.526 32.8716263962 425.654798737
54000 366.472310067 416.229823112 405.116653271 0.8466666666666671 458.49 32.9157113075 425.574681549
55000 366.412220902 415.26086444 405.435231894 0.8533333333333337 458.44 32.822671566 425.617718277
